,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
191,Maverick McNealy,8084,65.8666.52,901934,13681404,-0.30-0.30
192,Max Homa,827093,65.1464.6063.89,938814989,144012601548,-0.28-0.29-0.32
193,Michael Gellerman,4651,68.2570.80,516599,756846,-0.26-0.22
194,Michael Gligic,5288,67.1366.53,580958,8641440,-0.26-0.25
195,Michael Kim,94746175,65.6860.6360.0861.11,1064764638759,1620126010621242,-0.27-0.28-0.23-0.23
196,Michael Thompson,6062716280,63.6970.1165.7364.9665.54,642732840725873,10081044127811161332,-0.24-0.26-0.29-0.27-0.26
197,Miguel Angel Carballo,63,64.91,666,1026,-0.25
198,Morgan Hoffmann,92,63.57,1007,1584,-0.27
199,Nate Lashley,51705278,68.2067.4864.8565.50,577826607896,84612249361368,-0.24-0.30-0.26-0.25
200,Nelson Ledesma,4254,62.6465.39,451565,720864,-0.28-0.27
201,Nicholas Lindheim,5877,65.6768.04,662845,10081242,-0.25-0.26
202,Nick Taylor,9794975994,66.1467.6567.2666.9565.62,1131109611267111063,17101620167410621620,-0.24-0.24-0.29-0.29-0.29
203,Nick Watney,7594874662,66.4367.9668.6170.2065.33,82511011025556635,124216201494792972,-0.24-0.28-0.29-0.28-0.21
204,Ollie Schniederjans,929177,66.0362.7762.89,1034983849,156615661350,-0.28-0.31-0.31
205,Pat Perez,93826859104,66.1767.7865.3270.5166.26,10729157296981145,1620135011169901728,-0.29-0.27-0.28-0.27-0.28
206,Patrick Cantlay,5287774685,69.2170.6967.2168.3670.16,5981018871566985,864144012968281404,-0.29-0.27-0.34-0.32-0.30
207,Patrick Reed,10794937481,62.1763.5766.2265.3262.11,11199841049870872,18001548158413321404,-0.29-0.30-0.31-0.34-0.35
208,Patrick Rodgers,76975595106,65.8465.6564.7166.9767.10,877109959410971232,1332167491816381836,-0.22-0.28-0.29-0.30-0.28
